@relation class
@attribute h4_dst_bytes real
@attribute h4_dst_flow real
@attribute h4_dst_pkt real
@attribute h4_src_bytes real
@attribute h4_src_flow real
@attribute h4_src_pkt real
@attribute h5_dst_bytes real
@attribute h5_dst_flow real
@attribute h5_dst_pkt real
@attribute h5_src_bytes real
@attribute h5_src_flow real
@attribute h5_src_pkt real
@attribute h6_dst_bytes real
@attribute h6_dst_flow real
@attribute h6_dst_pkt real
@attribute h6_src_bytes real
@attribute h6_src_flow real
@attribute h6_src_pkt real
@attribute port_1_s_rx_bytes real
@attribute port_1_s_rx_crc_err real
@attribute port_1_s_rx_drop real
@attribute port_1_s_rx_error real
@attribute port_1_s_rx_frame_err real
@attribute port_1_s_rx_over_err real
@attribute port_1_s_rx_pkt real
@attribute port_1_s_tx_bytes real
@attribute port_1_s_tx_drop real
@attribute port_1_s_tx_error real
@attribute port_1_s_tx_pkt real
@attribute port_h4_rx_bytes real
@attribute port_h4_rx_crc_err real
@attribute port_h4_rx_drop real
@attribute port_h4_rx_error real
@attribute port_h4_rx_frame_err real
@attribute port_h4_rx_over_err real
@attribute port_h4_rx_pkt real
@attribute port_h4_tx_bytes real
@attribute port_h4_tx_drop real
@attribute port_h4_tx_error real
@attribute port_h4_tx_pkt real
@attribute port_h5_rx_bytes real
@attribute port_h5_rx_crc_err real
@attribute port_h5_rx_drop real
@attribute port_h5_rx_error real
@attribute port_h5_rx_frame_err real
@attribute port_h5_rx_over_err real
@attribute port_h5_rx_pkt real
@attribute port_h5_tx_bytes real
@attribute port_h5_tx_drop real
@attribute port_h5_tx_error real
@attribute port_h5_tx_pkt real
@attribute port_h6_rx_bytes real
@attribute port_h6_rx_crc_err real
@attribute port_h6_rx_drop real
@attribute port_h6_rx_error real
@attribute port_h6_rx_frame_err real
@attribute port_h6_rx_over_err real
@attribute port_h6_rx_pkt real
@attribute port_h6_tx_bytes real
@attribute port_h6_tx_drop real
@attribute port_h6_tx_error real
@attribute port_h6_tx_pkt real
@attribute port_udp_counts real
@attribute rst real
@attribute tcp_connection real
@attribute tcp_failed real
@attribute tcp_port_counts real
@attribute udp_connection real
@attribute unknown_protocol real
@attribute class{0,1}
@data
15147,0,206,8386,0,103,4725,0,63,3100,0,32,8624,0,125,8253,0,99,29477,0,0,0,0,0,408,21161,0,0,255,8386,0,0,0,0,0,103,16443,0,0,224,3100,0,0,0,0,0,32,6021,0,0,81,9375,0,0,0,0,0,116,9854,0,0,142,0,0,0,0,0,0,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,8734,0,127,8306,0,98,29764,0,0,0,0,0,413,21357,0,0,257,8345,0,0,0,0,0,103,16624,0,0,227,3170,0,0,0,0,0,33,6149,0,0,83,9542,0,0,0,0,0,117,10228,0,0,148,0,0,0,0,0,0,0,"0"
15143,0,206,8374,0,103,4725,0,63,3100,0,32,8624,0,125,8337,0,100,29452,0,0,0,0,0,408,21167,0,0,255,8374,0,0,0,0,0,103,16505,0,0,225,3100,0,0,0,0,0,32,6017,0,0,81,9393,0,0,0,0,0,116,9916,0,0,143,0,0,0,0,0,0,0,"0"
15293,0,208,8451,0,104,4725,0,63,3100,0,32,8734,0,127,8222,0,97,30459,0,0,0,0,0,417,21464,0,0,256,8451,0,0,0,0,0,104,17607,0,0,233,3100,0,0,0,0,0,32,7039,0,0,88,9410,0,0,0,0,0,115,10976,0,0,151,0,0,0,0,0,0,0,"0"
15128,0,206,8344,0,103,4725,0,63,3100,0,32,8624,0,125,8253,0,99,29934,0,0,0,0,0,415,21207,0,0,256,8344,0,0,0,0,0,103,16762,0,0,229,3100,0,0,0,0,0,32,6429,0,0,87,9393,0,0,0,0,0,116,10330,0,0,149,0,0,0,0,0,0,0,"0"
15164,0,206,8401,0,103,4725,0,63,3100,0,32,8662,0,126,8156,0,96,29581,0,0,0,0,0,410,21351,0,0,256,8471,0,0,0,0,0,104,16596,0,0,226,3100,0,0,0,0,0,32,6227,0,0,84,9480,0,0,0,0,0,116,10094,0,0,146,0,0,0,0,0,0,0,"0"
15274,0,208,8423,0,104,4725,0,63,3100,0,32,8696,0,126,8337,1,100,29795,0,0,0,0,0,413,21282,0,0,257,8423,0,0,0,0,0,104,16706,0,0,228,3100,0,0,0,0,0,32,6157,0,0,83,9459,0,0,0,0,0,117,10198,0,0,147,0,0,0,0,0,0,0,"0"
15143,0,206,8359,0,103,4725,0,63,3100,0,32,8662,0,126,8222,0,97,29490,0,0,0,0,0,409,21235,0,0,255,8359,0,0,0,0,0,103,16435,0,0,224,3100,0,0,0,0,0,32,6017,0,0,81,9476,0,0,0,0,0,116,9954,0,0,144,0,0,0,0,0,0,0,"0"
15147,0,206,8386,0,103,4725,0,63,3100,0,32,8558,0,124,8265,1,99,29456,0,0,0,0,0,408,21041,0,0,253,8386,0,0,0,0,0,103,16505,0,0,225,3100,0,0,0,0,0,32,6083,0,0,82,9255,0,0,0,0,0,114,9916,0,0,143,0,0,0,0,0,0,0,"0"
15418,0,210,8500,0,105,4725,0,63,3100,0,32,8388,0,122,7859,0,93,28921,0,0,0,0,0,401,20775,0,0,250,8345,0,0,0,0,0,103,16290,0,0,222,3017,0,0,0,0,0,31,5735,0,0,77,9113,0,0,0,0,0,112,9548,0,0,138,0,0,0,0,0,0,0,"0"
15164,0,206,8401,0,103,4725,0,63,3100,0,32,8734,0,127,8486,1,101,29711,0,0,0,0,0,412,21448,0,0,258,8374,0,0,0,0,0,103,16501,0,0,225,3100,0,0,0,0,0,32,6083,0,0,82,9674,0,0,0,0,0,119,10092,0,0,146,0,0,0,0,0,0,0,"0"
12780,2,174,6976,1,86,4746,2,63,3544,1,32,10630,72,158,6907,71,82,69436,0,0,0,0,0,900,46913,0,0,654,8160,0,0,0,0,0,101,39432,0,0,432,4867,0,0,0,0,0,49,31398,0,0,321,30323,0,0,0,0,0,479,57362,0,0,709,0,0,0,22,1,0,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,6848,3,103,8265,5,99,94093,0,0,0,0,0,1340,74168,0,0,1160,8415,0,0,0,0,0,104,24042,0,0,310,3170,0,0,0,0,0,33,13637,0,0,167,61095,0,0,0,0,0,1008,75898,0,0,1088,0,0,0,32,1,0,0,"1"
15452,0,210,8556,0,105,4725,0,63,3100,0,32,6012,1,92,7859,0,93,90357,0,0,0,0,0,1303,72743,0,0,1144,8556,0,0,0,0,0,105,20482,0,0,281,3100,0,0,0,0,0,32,9755,0,0,134,60685,0,0,0,0,0,1002,70614,0,0,1035,0,0,0,46,1,0,0,"1"
15274,0,208,8423,0,104,4725,0,63,3100,0,32,7588,0,113,8486,1,101,91127,0,0,0,0,0,1310,73382,0,0,1151,8423,0,0,0,0,0,104,20930,0,0,282,3170,0,0,0,0,0,33,10311,0,0,136,61274,0,0,0,0,0,1009,71720,0,0,1045,0,0,0,41,1,0,0,"1"
15287,0,208,8359,0,103,4725,0,63,3100,0,32,6794,0,101,8337,0,100,89540,0,0,0,0,0,1292,72246,0,0,1136,8429,0,0,0,0,0,104,19841,0,0,274,3100,0,0,0,0,0,32,9493,0,0,132,60359,0,0,0,0,0,995,70074,0,0,1028,0,0,0,42,1,0,0,"1"
15293,0,208,8542,0,105,4725,0,63,3100,0,32,5306,0,84,8222,0,97,89708,0,0,0,0,0,1295,72434,0,0,1137,8542,0,0,0,0,0,105,19967,0,0,276,3100,0,0,0,0,0,32,9255,0,0,129,60492,0,0,0,0,0,996,69878,0,0,1026,0,0,0,43,1,0,0,"1"
15128,0,206,8344,0,103,4725,0,63,3100,0,32,8624,0,125,8271,1,99,88941,0,0,0,0,0,1284,71831,0,0,1130,8344,0,0,0,0,0,103,19196,0,0,265,3100,0,0,0,0,0,32,8793,0,0,122,60087,0,0,0,0,0,991,69420,0,0,1019,0,0,0,40,1,0,0,"1"
15452,0,210,8401,0,103,4725,0,63,3100,0,32,8938,3,130,8222,2,97,90902,0,0,0,0,0,1312,73639,0,0,1157,8555,0,0,0,0,0,105,19340,0,0,266,3170,0,0,0,0,0,33,8539,0,0,118,61544,0,0,0,0,0,1014,71110,0,0,1044,0,0,0,36,1,0,0,"1"
15130,0,206,8499,0,105,4725,0,63,3100,0,32,3138,0,55,8271,0,99,90854,0,0,0,0,0,1306,72825,0,0,1144,8345,0,0,0,0,0,103,20906,0,0,282,3100,0,0,0,0,0,32,10505,0,0,139,60877,0,0,0,0,0,1004,71538,0,0,1042,0,0,0,41,1,0,0,"1"
15452,0,210,8374,0,103,4725,0,63,3100,0,32,4972,2,80,8288,1,98,89429,0,0,0,0,0,1291,72452,0,0,1138,8444,0,0,0,0,0,104,19843,0,0,274,3100,0,0,0,0,0,32,9495,0,0,132,60608,0,0,0,0,0,998,69880,0,0,1026,0,0,0,47,1,0,0,"1"
15274,0,208,8605,0,106,4725,0,63,3100,0,32,7180,0,107,8337,0,100,90376,0,0,0,0,0,1304,72952,0,0,1147,8605,0,0,0,0,0,106,20477,0,0,283,3100,0,0,0,0,0,32,9619,0,0,134,60947,0,0,0,0,0,1005,70400,0,0,1033,0,0,0,46,1,0,0,"1"
15143,0,206,8359,0,103,4725,0,63,3100,0,32,7328,0,108,8222,0,97,89482,0,0,0,0,0,1292,72351,0,0,1137,8359,0,0,0,0,0,103,18751,0,0,258,3100,0,0,0,0,0,32,8333,0,0,115,60592,0,0,0,0,0,998,69946,0,0,1027,0,0,0,35,1,0,0,"1"
15437,0,210,8386,0,103,4725,0,63,3100,0,32,4938,3,79,8265,6,99,89528,0,0,0,0,0,1292,72289,0,0,1137,8386,0,0,0,0,0,103,20279,0,0,279,3100,0,0,0,0,0,32,9857,0,0,136,60503,0,0,0,0,0,998,69988,0,0,1027,0,0,0,40,1,0,0,"1"
15128,0,206,8500,0,105,4725,0,63,3100,0,32,8456,0,123,7859,0,93,89891,0,0,0,0,0,1298,72675,0,0,1144,8500,0,0,0,0,0,105,19132,0,0,264,3100,0,0,0,0,0,32,8439,0,0,117,60775,0,0,0,0,0,1003,70080,0,0,1029,0,0,0,34,1,0,0,"1"
15164,0,206,8401,0,103,4725,0,63,3100,0,32,4212,2,70,8486,3,101,89291,0,0,0,0,0,1289,72045,0,0,1131,8401,0,0,0,0,0,103,19486,0,0,269,3100,0,0,0,0,0,32,9047,0,0,126,60244,0,0,0,0,0,992,69734,0,0,1024,0,0,0,39,1,0,0,"1"
15418,0,210,8499,0,105,4725,0,63,3100,0,32,6470,0,97,8271,0,99,90563,0,0,0,0,0,1307,73128,0,0,1151,8499,0,0,0,0,0,105,20422,0,0,282,3100,0,0,0,0,0,32,9729,0,0,135,61229,0,0,0,0,0,1010,70752,0,0,1038,0,0,0,44,1,0,0,"1"
15143,0,206,8374,0,103,4725,0,63,3100,0,32,6754,0,102,8346,0,99,90967,0,0,0,0,0,1308,73355,0,0,1151,8374,0,0,0,0,0,103,20307,0,0,273,3170,0,0,0,0,0,33,9819,0,0,129,61238,0,0,0,0,0,1009,71774,0,0,1046,0,0,0,36,1,0,0,"1"
15583,0,212,8451,0,104,4725,0,63,3100,0,32,6248,2,95,8279,1,99,90087,0,0,0,0,0,1300,72786,0,0,1145,8451,0,0,0,0,0,104,20133,0,0,278,3100,0,0,0,0,0,32,9565,0,0,133,60935,0,0,0,0,0,1005,70318,0,0,1032,0,0,0,47,1,0,0,"1"
15143,0,206,8513,0,105,4725,0,63,3100,0,32,7474,0,111,8156,0,96,89169,0,0,0,0,0,1287,71879,0,0,1128,8583,0,0,0,0,0,106,19923,0,0,275,3100,0,0,0,0,0,32,9285,0,0,129,59896,0,0,0,0,0,986,69330,0,0,1018,0,0,0,45,1,0,0,"1"
15147,0,206,8386,0,103,4725,0,63,3100,0,32,6388,0,97,8403,2,101,89897,0,0,0,0,0,1297,72683,0,0,1143,8386,0,0,0,0,0,103,19639,0,0,271,3100,0,0,0,0,0,32,9217,0,0,128,60897,0,0,0,0,0,1004,70274,0,0,1031,0,0,0,40,1,0,0,"1"
15418,0,210,8345,0,103,4725,0,63,3100,0,32,5358,0,84,8214,1,97,89825,0,0,0,0,0,1297,72767,0,0,1144,8345,0,0,0,0,0,103,19344,0,0,267,3100,0,0,0,0,0,32,8939,0,0,124,61022,0,0,0,0,0,1005,70302,0,0,1032,0,0,0,38,1,0,0,"1"
15164,0,206,8556,0,105,4725,0,63,3100,0,32,7056,4,106,8213,4,98,90380,0,0,0,0,0,1304,72821,0,0,1145,8556,0,0,0,0,0,105,20606,0,0,285,3100,0,0,0,0,0,32,9879,0,0,138,60865,0,0,0,0,0,1004,70452,0,0,1034,0,0,0,51,1,0,0,"1"
15418,0,210,8423,0,104,4725,0,63,3100,0,32,6354,0,97,8288,0,98,90103,0,0,0,0,0,1301,72887,0,0,1146,8423,0,0,0,0,0,104,19754,0,0,273,3100,0,0,0,0,0,32,9205,0,0,128,61064,0,0,0,0,0,1006,70436,0,0,1034,0,0,0,44,1,0,0,"1"
15143,0,206,8450,0,104,4725,0,63,3100,0,32,7230,0,107,8265,1,99,89204,0,0,0,0,0,1287,72095,0,0,1133,8450,0,0,0,0,0,104,20435,0,0,281,3100,0,0,0,0,0,32,9873,0,0,136,60245,0,0,0,0,0,993,69524,0,0,1020,0,0,0,41,1,0,0,"1"
12780,2,174,6822,1,84,4680,2,62,3544,1,32,7348,2,107,6472,1,77,37546,0,0,0,0,0,471,24403,0,0,270,8250,0,0,0,0,0,102,28825,0,0,335,4957,0,0,0,0,0,50,20725,0,0,223,8534,0,0,0,0,0,105,22981,0,0,262,0,0,0,0,0,0,0,"0"
16754,32,234,8499,34,105,6523,35,94,3100,37,32,6348,30,103,8700,29,104,117873,0,0,0,0,0,1965,50137,0,0,788,17451,0,0,0,0,0,272,86826,0,0,1464,12800,0,0,0,0,0,212,77291,0,0,1336,19296,0,0,0,0,0,298,80252,0,0,1384,0,45,0,0,33,0,0,"1"
14640,0,196,8556,0,105,4493,0,59,3100,0,32,5770,0,86,7859,0,93,112513,0,0,0,0,0,1876,61529,0,0,1003,18510,0,0,0,0,0,290,69140,0,0,1167,22732,0,0,0,0,0,396,68223,0,0,1189,20041,0,0,0,0,0,314,63476,0,0,1103,0,50,0,0,46,0,0,"1"
15216,0,207,8423,0,104,4841,1,65,3100,0,32,6638,0,100,8486,1,101,114347,0,0,0,0,0,1900,61347,0,0,995,18447,0,0,0,0,0,290,72370,0,0,1211,22702,0,0,0,0,0,395,71801,0,0,1238,19554,0,0,0,0,0,303,65536,0,0,1126,0,55,0,0,53,0,0,"1"
15445,1,211,8401,1,104,4609,0,61,3100,1,32,6982,0,104,8271,0,99,110383,0,0,0,0,0,1841,61129,0,0,997,18451,0,0,0,0,0,291,68165,0,0,1150,22828,0,0,0,0,0,398,67217,0,0,1170,19467,0,0,0,0,0,303,60960,0,0,1059,0,50,0,0,49,0,0,"1"
15251,0,207,8500,0,104,3159,0,36,3100,0,32,6590,1,101,8288,1,98,87572,0,0,0,0,0,1440,48250,0,0,755,18766,0,0,0,0,0,295,57759,0,0,965,9352,0,0,0,0,0,148,43193,0,0,751,19832,0,0,0,0,0,308,51012,0,0,882,0,24,0,0,23,0,0,"1"
14532,0,196,8344,0,103,0,229,0,6999,234,91,4998,0,75,8271,0,99,109051,0,0,0,0,0,1647,60629,0,0,896,18016,0,0,0,0,0,283,73982,0,0,1135,23798,0,0,0,0,0,324,66975,0,0,997,18515,0,0,0,0,0,285,67206,0,0,1049,0,24,22,4,24,0,0,"1"
14890,0,201,8401,0,103,0,0,0,0,0,0,8192,0,120,8222,0,97,51256,0,0,0,0,0,698,31060,0,0,402,8625,0,0,0,0,0,106,32042,0,0,438,3942,0,0,0,0,0,44,21833,0,0,298,18110,0,0,0,0,0,247,30950,0,0,423,0,7,2,0,2,0,0,"0"
15418,0,210,8499,0,105,4725,0,63,3100,0,32,8696,0,126,8337,1,100,30583,0,0,0,0,0,418,21568,0,0,259,8345,0,0,0,0,0,103,17854,0,0,236,3170,0,0,0,0,0,33,7379,0,0,92,9463,0,0,0,0,0,117,11350,0,0,155,0,0,0,0,0,0,0,"0"
15143,0,206,8374,0,103,4725,0,63,3100,0,32,8662,0,126,8222,0,97,29700,0,0,0,0,0,412,21184,0,0,254,8374,0,0,0,0,0,103,16645,0,0,227,3100,0,0,0,0,0,32,6227,0,0,84,9410,0,0,0,0,0,115,10234,0,0,148,0,0,0,0,0,0,0,"0"
15583,0,212,8605,0,106,4725,0,63,3100,0,32,8696,0,126,8265,1,99,29975,0,0,0,0,0,415,21475,0,0,259,8605,0,0,0,0,0,106,16941,0,0,231,3100,0,0,0,0,0,32,6083,0,0,82,9387,0,0,0,0,0,116,9916,0,0,143,0,0,0,0,0,0,0,"0"
15143,0,206,8359,0,103,4725,0,63,3100,0,32,8662,0,126,7859,0,93,29216,0,0,0,0,0,405,21070,0,0,254,8359,0,0,0,0,0,103,16435,0,0,224,3100,0,0,0,0,0,32,6017,0,0,81,9311,0,0,0,0,0,115,9680,0,0,140,0,0,0,0,0,0,0,"0"
15147,0,206,8386,0,103,4725,0,63,3100,0,32,8558,0,124,8486,1,101,29988,0,0,0,0,0,416,21616,0,0,260,8542,0,0,0,0,0,105,16861,0,0,230,3100,0,0,0,0,0,32,6149,0,0,83,9674,0,0,0,0,0,119,10158,0,0,147,0,0,0,0,0,0,0,"0"
15418,0,210,8500,0,105,4725,0,63,3100,0,32,8388,0,122,8205,0,98,29437,0,0,0,0,0,408,21137,0,0,255,8344,0,0,0,0,0,103,16420,0,0,224,3100,0,0,0,0,0,32,6017,0,0,81,9393,0,0,0,0,0,116,9916,0,0,143,0,0,0,0,0,0,0,"0"
15164,0,206,8401,0,103,4725,0,63,3100,0,32,8734,0,127,8354,0,99,29785,0,0,0,0,0,413,21343,0,0,256,8401,0,0,0,0,0,103,16658,0,0,227,3100,0,0,0,0,0,32,6289,0,0,85,9542,0,0,0,0,0,117,10228,0,0,148,0,0,0,0,0,0,0,"0"
15418,0,210,8499,0,105,4725,0,63,3100,0,32,8624,0,125,8205,0,98,29727,0,0,0,0,0,412,21292,0,0,257,8499,0,0,0,0,0,105,16780,0,0,229,3100,0,0,0,0,0,32,6017,0,0,81,9393,0,0,0,0,0,116,9916,0,0,143,0,0,0,0,0,0,0,"0"
15143,0,206,8374,0,103,4725,0,63,3100,0,32,8734,0,127,8288,0,98,30581,0,0,0,0,0,418,21965,0,0,263,8444,0,0,0,0,0,104,17731,0,0,234,3170,0,0,0,0,0,33,7313,0,0,91,9678,0,0,0,0,0,119,11322,0,0,155,0,0,0,0,0,0,0,"0"
15293,0,208,8451,0,104,4725,0,63,3100,0,32,8624,0,125,8337,0,100,29742,0,0,0,0,0,412,21376,0,0,258,8451,0,0,0,0,0,104,16725,0,0,228,3100,0,0,0,0,0,32,6157,0,0,83,9525,0,0,0,0,0,118,10056,0,0,145,0,0,0,0,0,0,0,"0"
15433,0,210,8513,0,105,4725,0,63,3100,0,32,8662,0,126,8222,0,97,29990,0,0,0,0,0,416,21455,0,0,258,8513,0,0,0,0,0,105,16935,0,0,231,3100,0,0,0,0,0,32,6227,0,0,84,9542,0,0,0,0,0,117,10234,0,0,148,0,0,0,0,0,0,0,"0"
15147,0,206,8386,0,103,4725,0,63,3100,0,32,8696,0,126,8337,1,100,29730,0,0,0,0,0,412,21245,0,0,256,8386,0,0,0,0,0,103,16641,0,0,227,3100,0,0,0,0,0,32,6219,0,0,84,9459,0,0,0,0,0,117,10190,0,0,147,0,0,0,0,0,0,0,"0"
15418,0,210,8500,0,105,4725,0,63,3100,0,32,8662,0,126,8138,0,96,29765,0,0,0,0,0,413,21442,0,0,258,8500,0,0,0,0,0,105,16710,0,0,228,3100,0,0,0,0,0,32,6017,0,0,81,9542,0,0,0,0,0,117,9954,0,0,144,0,0,0,0,0,0,0,"0"
15164,0,206,8401,0,103,4725,0,63,3100,0,32,8696,0,126,8265,1,99,29622,0,0,0,0,0,410,21139,0,0,254,8401,0,0,0,0,0,103,16588,0,0,226,3100,0,0,0,0,0,32,6149,0,0,83,9255,0,0,0,0,0,114,9982,0,0,144,0,0,0,0,0,0,0,"0"
15274,0,208,8423,0,104,4725,0,63,3100,0,32,8662,0,126,7943,0,94,29281,0,0,0,0,0,406,21068,0,0,254,8423,0,0,0,0,0,104,16500,0,0,225,3100,0,0,0,0,0,32,5951,0,0,80,9245,0,0,0,0,0,114,9614,0,0,139,0,0,0,0,0,0,0,"0"
15287,0,208,8450,0,104,4725,0,63,3100,0,32,8322,0,121,8486,1,101,29838,0,0,0,0,0,414,21458,0,0,258,8450,0,0,0,0,0,104,16711,0,0,228,3100,0,0,0,0,0,32,6149,0,0,83,9608,0,0,0,0,0,118,10158,0,0,147,0,0,0,0,0,0,0,"0"
