@relation class
@attribute h7_dst_bytes real
@attribute h7_dst_flow real
@attribute h7_dst_pkt real
@attribute h7_src_bytes real
@attribute h7_src_flow real
@attribute h7_src_pkt real
@attribute h8_dst_bytes real
@attribute h8_dst_flow real
@attribute h8_dst_pkt real
@attribute h8_src_bytes real
@attribute h8_src_flow real
@attribute h8_src_pkt real
@attribute h9_dst_bytes real
@attribute h9_dst_flow real
@attribute h9_dst_pkt real
@attribute h9_src_bytes real
@attribute h9_src_flow real
@attribute h9_src_pkt real
@attribute port_1_s_rx_bytes real
@attribute port_1_s_rx_crc_err real
@attribute port_1_s_rx_drop real
@attribute port_1_s_rx_error real
@attribute port_1_s_rx_frame_err real
@attribute port_1_s_rx_over_err real
@attribute port_1_s_rx_pkt real
@attribute port_1_s_tx_bytes real
@attribute port_1_s_tx_drop real
@attribute port_1_s_tx_error real
@attribute port_1_s_tx_pkt real
@attribute port_h7_rx_bytes real
@attribute port_h7_rx_crc_err real
@attribute port_h7_rx_drop real
@attribute port_h7_rx_error real
@attribute port_h7_rx_frame_err real
@attribute port_h7_rx_over_err real
@attribute port_h7_rx_pkt real
@attribute port_h7_tx_bytes real
@attribute port_h7_tx_drop real
@attribute port_h7_tx_error real
@attribute port_h7_tx_pkt real
@attribute port_h8_rx_bytes real
@attribute port_h8_rx_crc_err real
@attribute port_h8_rx_drop real
@attribute port_h8_rx_error real
@attribute port_h8_rx_frame_err real
@attribute port_h8_rx_over_err real
@attribute port_h8_rx_pkt real
@attribute port_h8_tx_bytes real
@attribute port_h8_tx_drop real
@attribute port_h8_tx_error real
@attribute port_h8_tx_pkt real
@attribute port_h9_rx_bytes real
@attribute port_h9_rx_crc_err real
@attribute port_h9_rx_drop real
@attribute port_h9_rx_error real
@attribute port_h9_rx_frame_err real
@attribute port_h9_rx_over_err real
@attribute port_h9_rx_pkt real
@attribute port_h9_tx_bytes real
@attribute port_h9_tx_drop real
@attribute port_h9_tx_error real
@attribute port_h9_tx_pkt real
@attribute port_udp_counts real
@attribute rst real
@attribute tcp_connection real
@attribute tcp_failed real
@attribute tcp_port_counts real
@attribute udp_connection real
@attribute unknown_protocol real
@attribute class{0}
@data
15386,0,209,8556,0,105,4725,0,63,3100,0,32,8558,0,124,8265,1,99,29761,0,0,0,0,0,412,21343,0,0,257,8556,0,0,0,0,0,105,16810,0,0,229,3100,0,0,0,0,0,32,6149,0,0,83,9387,0,0,0,0,0,116,9982,0,0,144,0,0,0,0,0,0,0,"0"
15340,0,209,8423,0,104,4725,0,63,3100,0,32,8454,0,123,8123,0,97,29413,0,0,0,0,0,408,21086,0,0,254,8423,0,0,0,0,0,104,16566,0,0,226,3100,0,0,0,0,0,32,5951,0,0,80,9263,0,0,0,0,0,114,9680,0,0,140,0,0,0,0,0,0,0,"0"
15143,0,206,8359,0,103,4725,0,63,3100,0,32,8734,0,127,8222,0,97,29562,0,0,0,0,0,410,21367,0,0,257,8359,0,0,0,0,0,103,16435,0,0,224,3100,0,0,0,0,0,32,6017,0,0,81,9608,0,0,0,0,0,118,10026,0,0,145,0,0,0,0,0,0,0,"0"
15147,0,206,8386,0,103,4725,0,63,3100,0,32,8624,0,125,8337,0,100,29394,0,0,0,0,0,407,21311,0,0,257,8386,0,0,0,0,0,103,16377,0,0,223,3100,0,0,0,0,0,32,5955,0,0,80,9525,0,0,0,0,0,118,9854,0,0,142,0,0,0,0,0,0,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,8734,0,127,8222,0,97,29685,0,0,0,0,0,412,21203,0,0,255,8345,0,0,0,0,0,103,16624,0,0,227,3100,0,0,0,0,0,32,6219,0,0,84,9458,0,0,0,0,0,116,10162,0,0,147,0,0,0,0,0,0,0,"0"
15143,0,206,8374,0,103,4725,0,63,3100,0,32,8624,0,125,8337,0,100,29522,0,0,0,0,0,409,21233,0,0,256,8374,0,0,0,0,0,103,16575,0,0,226,3100,0,0,0,0,0,32,6087,0,0,82,9459,0,0,0,0,0,117,9986,0,0,144,0,0,0,0,0,0,0,"0"
15293,0,208,8451,0,104,4725,0,63,3100,0,32,8734,0,127,8156,0,96,30319,0,0,0,0,0,415,21600,0,0,258,8451,0,0,0,0,0,104,17537,0,0,232,3170,0,0,0,0,0,33,6969,0,0,87,9476,0,0,0,0,0,116,10906,0,0,150,0,0,0,0,0,0,0,"0"
15128,0,206,8344,0,103,4725,0,63,3100,0,32,8624,0,125,8337,1,100,29864,0,0,0,0,0,414,21211,0,0,256,8414,0,0,0,0,0,104,16762,0,0,229,3100,0,0,0,0,0,32,6429,0,0,87,9397,0,0,0,0,0,116,10400,0,0,150,0,0,0,0,0,0,0,"0"
15164,0,206,8401,0,103,4725,0,63,3100,0,32,8662,0,126,8222,0,97,29721,0,0,0,0,0,412,21343,0,0,256,8401,0,0,0,0,0,103,16666,0,0,227,3100,0,0,0,0,0,32,6227,0,0,84,9542,0,0,0,0,0,117,10164,0,0,147,0,0,0,0,0,0,0,"0"
15274,0,208,8423,0,104,4725,0,63,3100,0,32,8696,0,126,8403,1,101,29659,0,0,0,0,0,411,21418,0,0,259,8423,0,0,0,0,0,104,16570,0,0,226,3100,0,0,0,0,0,32,6021,0,0,81,9525,0,0,0,0,0,118,9992,0,0,144,0,0,0,0,0,0,0,"0"
