 [DEBUG] (Thread-43) Starting SYN, TIME 2018-09-27 10:37:05.336674
 [DEBUG] (Thread-42) Exiting Error, TIME 2018-09-27 10:37:05.336881
 [DEBUG] (Thread-41) Starting DOS, TIME 2018-09-27 10:37:05.337069
 [DEBUG] (Thread-43) Exiting SYN, TIME 2018-09-27 10:37:05.337144
 [DEBUG] (Thread-41) Exiting DOS, TIME 2018-09-27 10:37:05.337394
 [DEBUG] (Thread-38) Exiting super, TIME 2018-09-27 10:37:05.339800
 [DEBUG] (Thread-39) Starting Super, TIME 2018-09-27 10:37:39.317066
 [DEBUG] (Thread-40) Starting Super, TIME 2018-09-27 10:38:05.132705
 [DEBUG] (Thread-47) Starting Error, TIME 2018-09-27 10:38:05.336161
 [DEBUG] (Thread-48) Starting SYN, TIME 2018-09-27 10:38:05.336788
 [DEBUG] (Thread-47) Exiting Error, TIME 2018-09-27 10:38:05.337507
 [DEBUG] (Thread-46) Starting DOS, TIME 2018-09-27 10:38:05.338241
 [DEBUG] (Thread-48) Exiting SYN, TIME 2018-09-27 10:38:05.338660
 [DEBUG] (Thread-46) Exiting DOS, TIME 2018-09-27 10:38:05.339658
 [DEBUG] (Thread-40) Exiting super, TIME 2018-09-27 10:38:05.349483
 [DEBUG] (Thread-44) Starting Super, TIME 2018-09-27 10:38:39.316823
 [DEBUG] (Thread-45) Starting Super, TIME 2018-09-27 10:39:05.133963
 [DEBUG] (Thread-52) Starting Error, TIME 2018-09-27 10:39:05.346055
 [DEBUG] (Thread-52) Exiting Error, TIME 2018-09-27 10:39:05.347299
 [DEBUG] (Thread-53) Starting SYN, TIME 2018-09-27 10:39:05.347715
 [DEBUG] (Thread-51) Starting DOS, TIME 2018-09-27 10:39:05.348723
 [DEBUG] (Thread-53) Exiting SYN, TIME 2018-09-27 10:39:05.349386
 [DEBUG] (Thread-51) Exiting DOS, TIME 2018-09-27 10:39:05.350333
 [DEBUG] (Thread-45) Exiting super, TIME 2018-09-27 10:39:05.360219
 [DEBUG] (Thread-49) Starting Super, TIME 2018-09-27 10:39:39.316988
 [DEBUG] (Thread-50) Starting Super, TIME 2018-09-27 10:40:05.134123
 [DEBUG] (Thread-57) Starting Error, TIME 2018-09-27 10:40:05.338398
 [DEBUG] (Thread-57) Exiting Error, TIME 2018-09-27 10:40:05.338712
 [DEBUG] (Thread-58) Starting SYN, TIME 2018-09-27 10:40:05.338889
 [DEBUG] (Thread-56) Starting DOS, TIME 2018-09-27 10:40:05.339119
 [DEBUG] (Thread-58) Exiting SYN, TIME 2018-09-27 10:40:05.339200
 [DEBUG] (Thread-56) Exiting DOS, TIME 2018-09-27 10:40:05.339372
 [DEBUG] (Thread-50) Exiting super, TIME 2018-09-27 10:40:05.342485
 [DEBUG] (Thread-54) Starting Super, TIME 2018-09-27 10:40:39.650613
 [DEBUG] (Thread-55) Starting Super, TIME 2018-09-27 10:41:05.134773
 [DEBUG] (Thread-62) Starting Error, TIME 2018-09-27 10:41:05.348730
 [DEBUG] (Thread-63) Starting SYN, TIME 2018-09-27 10:41:05.348911
 [DEBUG] (Thread-62) Exiting Error, TIME 2018-09-27 10:41:05.349030
 [DEBUG] (Thread-63) Exiting SYN, TIME 2018-09-27 10:41:05.349446
 [DEBUG] (Thread-61) Starting DOS, TIME 2018-09-27 10:41:05.349555
 [DEBUG] (Thread-61) Exiting DOS, TIME 2018-09-27 10:41:05.349777
 [DEBUG] (Thread-55) Exiting super, TIME 2018-09-27 10:41:05.353850
 [DEBUG] (Thread-1 ) Starting Super, TIME 2018-09-27 13:52:42.498647
 [DEBUG] (Thread-4 ) Starting Error, TIME 2018-09-27 13:52:42.746215
 [DEBUG] (Thread-4 ) Exiting Error, TIME 2018-09-27 13:52:42.746913
 [DEBUG] (Thread-5 ) Starting SYN, TIME 2018-09-27 13:52:42.747201
 [DEBUG] (Thread-3 ) Starting DOS, TIME 2018-09-27 13:52:42.747892
 [DEBUG] (Thread-5 ) Exiting SYN, TIME 2018-09-27 13:52:42.748094
 [DEBUG] (Thread-3 ) Exiting DOS, TIME 2018-09-27 13:52:42.748561
 [DEBUG] (Thread-1 ) Exiting super, TIME 2018-09-27 13:52:42.759326
 [DEBUG] (Thread-2 ) Starting Super, TIME 2018-09-27 13:53:42.498697
 [DEBUG] (Thread-8 ) Starting Error, TIME 2018-09-27 13:53:42.719719
 [DEBUG] (Thread-8 ) Exiting Error, TIME 2018-09-27 13:53:42.720988
 [DEBUG] (Thread-9 ) Starting SYN, TIME 2018-09-27 13:53:42.721711
 [DEBUG] (Thread-7 ) Starting DOS, TIME 2018-09-27 13:53:42.722409
 [DEBUG] (Thread-9 ) Exiting SYN, TIME 2018-09-27 13:53:42.722749
 [DEBUG] (Thread-7 ) Exiting DOS, TIME 2018-09-27 13:53:42.723568
 [DEBUG] (Thread-2 ) Exiting super, TIME 2018-09-27 13:53:42.736116
 [DEBUG] (Thread-6 ) Starting Super, TIME 2018-09-27 13:54:42.501403
 [DEBUG] (Thread-12) Starting Error, TIME 2018-09-27 13:54:42.635264
 [DEBUG] (Thread-12) Exiting Error, TIME 2018-09-27 13:54:42.635786
 [DEBUG] (Thread-13) Starting SYN, TIME 2018-09-27 13:54:42.637500
 [DEBUG] (Thread-11) Starting DOS, TIME 2018-09-27 13:54:42.637896
 [DEBUG] (Thread-13) Exiting SYN, TIME 2018-09-27 13:54:42.638060
 [DEBUG] (Thread-11) Exiting DOS, TIME 2018-09-27 13:54:42.638364
 [DEBUG] (Thread-6 ) Exiting super, TIME 2018-09-27 13:54:42.642090
 [DEBUG] (Thread-10) Starting Super, TIME 2018-09-27 13:55:42.500812
 [DEBUG] (Thread-16) Starting Error, TIME 2018-09-27 13:55:42.736306
 [DEBUG] (Thread-16) Exiting Error, TIME 2018-09-27 13:55:42.736915
 [DEBUG] (Thread-17) Starting SYN, TIME 2018-09-27 13:55:42.737350
 [DEBUG] (Thread-17) Exiting SYN, TIME 2018-09-27 13:55:42.737576
 [DEBUG] (Thread-15) Starting DOS, TIME 2018-09-27 13:55:42.737869
 [DEBUG] (Thread-15) Exiting DOS, TIME 2018-09-27 13:55:42.738228
 [DEBUG] (Thread-10) Exiting super, TIME 2018-09-27 13:55:42.743852
 [DEBUG] (Thread-14) Starting Super, TIME 2018-09-27 13:56:42.501507
 [DEBUG] (Thread-20) Starting Error, TIME 2018-09-27 13:56:42.720119
 [DEBUG] (Thread-20) Exiting Error, TIME 2018-09-27 13:56:42.720986
