@relation class
@attribute hmi_dst_bytes real
@attribute hmi_dst_flow real
@attribute hmi_dst_pkt real
@attribute hmi_src_bytes real
@attribute hmi_src_flow real
@attribute hmi_src_pkt real
@attribute port_1_s_rx_bytes real
@attribute port_1_s_rx_crc_err real
@attribute port_1_s_rx_drop real
@attribute port_1_s_rx_error real
@attribute port_1_s_rx_frame_err real
@attribute port_1_s_rx_over_err real
@attribute port_1_s_rx_pkt real
@attribute port_1_s_tx_bytes real
@attribute port_1_s_tx_drop real
@attribute port_1_s_tx_error real
@attribute port_1_s_tx_pkt real
@attribute port_2_s_rx_bytes real
@attribute port_2_s_rx_crc_err real
@attribute port_2_s_rx_drop real
@attribute port_2_s_rx_error real
@attribute port_2_s_rx_frame_err real
@attribute port_2_s_rx_over_err real
@attribute port_2_s_rx_pkt real
@attribute port_2_s_tx_bytes real
@attribute port_2_s_tx_drop real
@attribute port_2_s_tx_error real
@attribute port_2_s_tx_pkt real
@attribute port_3_s_rx_bytes real
@attribute port_3_s_rx_crc_err real
@attribute port_3_s_rx_drop real
@attribute port_3_s_rx_error real
@attribute port_3_s_rx_frame_err real
@attribute port_3_s_rx_over_err real
@attribute port_3_s_rx_pkt real
@attribute port_3_s_tx_bytes real
@attribute port_3_s_tx_drop real
@attribute port_3_s_tx_error real
@attribute port_3_s_tx_pkt real
@attribute port_hmi_rx_bytes real
@attribute port_hmi_rx_crc_err real
@attribute port_hmi_rx_drop real
@attribute port_hmi_rx_error real
@attribute port_hmi_rx_frame_err real
@attribute port_hmi_rx_over_err real
@attribute port_hmi_rx_pkt real
@attribute port_hmi_tx_bytes real
@attribute port_hmi_tx_drop real
@attribute port_hmi_tx_error real
@attribute port_hmi_tx_pkt real
@attribute port_udp_counts real
@attribute rst real
@attribute tcp_connection real
@attribute tcp_failed real
@attribute tcp_port_counts real
@attribute udp_connection real
@attribute unknown_protocol real
@attribute class{0}
@data
59851,2,706,77445,0,1082,81049,0,0,0,0,0,1135,80545,0,0,1289,72103,0,0,0,0,0,1132,89359,0,0,1290,21699,0,0,0,0,0,261,63647,0,0,956,86157,0,0,0,0,0,1192,97893,0,0,1311,0,0,0,0,0,0,0,"0"
59456,0,706,81765,0,1136,81848,0,0,0,0,0,1148,81431,0,0,1304,73070,0,0,0,0,0,1150,90495,0,0,1306,21208,0,0,0,0,0,256,63447,0,0,954,85869,0,0,0,0,0,1188,97460,0,0,1311,0,0,0,0,0,0,0,"0"
59468,0,701,81255,0,1131,82257,0,0,0,0,0,1151,82345,0,0,1312,73413,0,0,0,0,0,1152,91035,0,0,1309,21767,0,0,0,0,0,260,63308,0,0,942,86259,0,0,0,0,0,1194,97578,0,0,1296,0,0,0,0,0,0,0,"0"
59570,0,707,76799,0,1073,81642,0,0,0,0,0,1145,81214,0,0,1300,72786,0,0,0,0,0,1145,90087,0,0,1300,21352,0,0,0,0,0,258,62714,0,0,940,85907,0,0,0,0,0,1188,96686,0,0,1296,0,0,0,0,0,0,0,"0"
59310,0,699,82354,0,1145,80623,0,0,0,0,0,1129,80291,0,0,1284,71879,0,0,0,0,0,1128,89101,0,0,1286,21528,0,0,0,0,0,259,64511,0,0,969,86314,0,0,0,0,0,1195,99030,0,0,1329,0,0,0,0,0,0,0,"0"
59666,3,708,75950,0,1062,81550,0,0,0,0,0,1143,81115,0,0,1298,72683,0,0,0,0,0,1143,89965,0,0,1298,21244,0,0,0,0,0,256,61869,0,0,926,85850,0,0,0,0,0,1187,95512,0,0,1277,0,0,0,0,0,0,0,"0"
59023,0,696,82381,0,1145,81565,0,0,0,0,0,1143,80961,0,0,1297,72767,0,0,0,0,0,1144,89825,0,0,1297,21352,0,0,0,0,0,257,62895,0,0,944,85619,0,0,0,0,0,1186,97004,0,0,1299,0,0,0,0,0,0,0,"0"
59955,3,711,80541,1,1120,81894,0,0,0,0,0,1148,81462,0,0,1303,72763,0,0,0,0,0,1144,90312,0,0,1303,21414,0,0,0,0,0,258,67218,0,0,1011,86619,0,0,0,0,0,1197,101212,0,0,1366,0,0,0,0,0,0,0,"0"
59025,0,696,75665,0,1060,81849,0,0,0,0,0,1147,81267,0,0,1302,72945,0,0,0,0,0,1147,90171,0,0,1302,21287,0,0,0,0,0,256,65917,0,0,992,85839,0,0,0,0,0,1189,100057,0,0,1347,0,0,0,0,0,0,0,"0"
59551,3,706,81629,0,1134,80645,0,0,0,0,0,1130,80396,0,0,1286,72037,0,0,0,0,0,1132,89136,0,0,1286,20997,0,0,0,0,0,252,61037,0,0,912,85639,0,0,0,0,0,1184,94649,0,0,1262,0,0,0,0,0,0,0,"0"
